PERMNO,date,TICKER,COMNAM,PRC
86868,20160205,GS,GOLDMAN SACHS GROUP INC,156.47
86868,20160208,GS,GOLDMAN SACHS GROUP INC,149.25
86868,20160209,GS,GOLDMAN SACHS GROUP INC,148.25
86868,20160210,GS,GOLDMAN SACHS GROUP INC,147.23
86868,20160211,GS,GOLDMAN SACHS GROUP INC,140.69
86868,20160212,GS,GOLDMAN SACHS GROUP INC,146.13
86868,20160216,GS,GOLDMAN SACHS GROUP INC,149.02
86868,20160217,GS,GOLDMAN SACHS GROUP INC,150.94
86868,20160218,GS,GOLDMAN SACHS GROUP INC,147.73
86868,20160219,GS,GOLDMAN SACHS GROUP INC,146.91
86868,20160222,GS,GOLDMAN SACHS GROUP INC,148.78999
86868,20160223,GS,GOLDMAN SACHS GROUP INC,144.91
86868,20160224,GS,GOLDMAN SACHS GROUP INC,145.56
86868,20160225,GS,GOLDMAN SACHS GROUP INC,148.25
86868,20160226,GS,GOLDMAN SACHS GROUP INC,150.25
86868,20160229,GS,GOLDMAN SACHS GROUP INC,149.53
86868,20160301,GS,GOLDMAN SACHS GROUP INC,154.64999
86868,20160302,GS,GOLDMAN SACHS GROUP INC,154.2
86868,20160303,GS,GOLDMAN SACHS GROUP INC,155.33
86868,20160304,GS,GOLDMAN SACHS GROUP INC,156.84
86868,20160307,GS,GOLDMAN SACHS GROUP INC,155.35001
86868,20160308,GS,GOLDMAN SACHS GROUP INC,151.60001
86868,20160309,GS,GOLDMAN SACHS GROUP INC,149.91
86868,20160310,GS,GOLDMAN SACHS GROUP INC,151.02
86868,20160311,GS,GOLDMAN SACHS GROUP INC,153.94
86868,20160314,GS,GOLDMAN SACHS GROUP INC,153.49001
86868,20160315,GS,GOLDMAN SACHS GROUP INC,152.03
86868,20160316,GS,GOLDMAN SACHS GROUP INC,150.53999
86868,20160317,GS,GOLDMAN SACHS GROUP INC,152.91
86868,20160318,GS,GOLDMAN SACHS GROUP INC,157.60001
86868,20160321,GS,GOLDMAN SACHS GROUP INC,156.28999
86868,20160322,GS,GOLDMAN SACHS GROUP INC,154.2
86868,20160323,GS,GOLDMAN SACHS GROUP INC,154.08
86868,20160324,GS,GOLDMAN SACHS GROUP INC,153
